time,Ref,Package,LSTM
1.7000000000E-01,3.2257491777E-04,3.6906083555E-04,2.1928484784E-04
1.7250000000E-01,-8.8559678207E-04,9.1242083555E-04,7.3307397543E-04
1.7500000000E-01,2.1343973294E-03,1.0975908355E-03,9.4416475622E-04
1.7750000000E-01,1.0135428916E-05,1.2453908355E-03,1.0988451540E-03
1.8000000000E-01,2.2859074454E-03,3.7549083555E-04,3.6871171324E-04
1.8250000000E-01,-2.5198888995E-04,1.0851908355E-03,9.2533929273E-04
1.8500000000E-01,1.5288674987E-03,8.8753083555E-04,8.2571653184E-04
1.8750000000E-01,6.1048425138E-05,3.6304083555E-04,3.6514602834E-04
1.9000000000E-01,1.8409480478E-03,7.2100083555E-04,6.3951627817E-04
1.9250000000E-01,2.7750648857E-04,6.9581083555E-04,6.5618223744E-04
1.9500000000E-01,-1.9663322951E-04,-4.4909164452E-05,1.8621620256E-05
1.9750000000E-01,-2.4696491118E-03,-7.2900916445E-04,-6.3447671710E-04
2.0000000000E-01,9.7445792541E-04,1.4652083555E-04,7.0510257501E-05
2.0250000000E-01,-1.7054453719E-03,-3.8379916445E-04,-3.1338899862E-04
2.0500000000E-01,1.6626224392E-03,-2.0489916445E-04,-1.9853579579E-04
2.0750000000E-01,-5.3498385515E-04,-2.1119916445E-04,-1.8477631966E-04
2.1000000000E-01,3.8412581339E-04,-4.0899916445E-04,-3.4854479600E-04
2.1250000000E-01,-6.6066554378E-04,-9.1383916445E-04,-7.9558620928E-04
2.1500000000E-01,1.1559159372E-04,-3.8809164452E-05,-6.8980210926E-05
2.1750000000E-01,-1.2105552805E-03,-5.8166916445E-04,-4.5635137940E-04
2.2000000000E-01,-7.5715249484E-05,-6.9682916445E-04,-5.9095775941E-04
2.2250000000E-01,-2.6718231332E-03,1.0849908355E-03,9.5919432351E-04
2.2500000000E-01,2.0965214861E-03,8.9983083555E-04,9.6825341461E-04
2.2750000000E-01,-1.3468089928E-03,6.7002083555E-04,7.7588396380E-04
2.3000000000E-01,9.9802113325E-04,-7.3502916445E-04,-4.4629903277E-04
2.3250000000E-01,-1.0624705313E-03,-3.2409164452E-05,5.9889105614E-05
2.3500000000E-01,8.0320862416E-04,-3.8364916445E-04,-1.7849687720E-04
2.3750000000E-01,1.6031280323E-04,-1.9201916445E-04,-3.8198486436E-05
2.4000000000E-01,2.9478878539E-03,1.9119083555E-04,3.0887854518E-04
2.4250000000E-01,-2.0783459424E-04,8.8687083555E-04,9.4671902480E-04
2.4500000000E-01,5.1292336178E-04,3.5060083555E-04,5.4249918321E-04
2.4750000000E-01,-2.5276368926E-03,3.3127083555E-04,4.8330106074E-04
2.5000000000E-01,1.1168400647E-03,-1.9844916445E-04,2.1055864636E-05
2.5250000000E-01,-9.3749521236E-04,-3.5916445164E-07,1.4534994261E-04
2.5500000000E-01,1.5493194235E-03,5.5536083555E-04,6.3786382088E-04
