time,Ref,Package,LSTM
0.0000000000E+00,-2.7900000000E-05,-1.5669510000E-03,-1.9582773093E-03
2.5000000000E-03,-1.2316220000E-03,-1.0223080000E-03,-1.5545412898E-03
5.0000000000E-03,4.7800000000E-04,-8.1519100000E-04,-1.2328899466E-03
7.5000000000E-03,-5.3839300000E-04,9.4300000000E-05,-3.4736219095E-04
1.0000000000E-02,1.6200000000E-03,4.4822600000E-04,7.6830736361E-05
1.2500000000E-02,2.7945500000E-04,2.9593300000E-04,4.0337909013E-08
1.5000000000E-02,9.7242600000E-04,1.1998910000E-03,8.1735587446E-04
1.7500000000E-02,1.9016340000E-03,1.3907200000E-03,1.0914579034E-03
2.0000000000E-02,3.0500000000E-03,1.7444540000E-03,1.4513849746E-03
2.2500000000E-02,2.4351490000E-03,1.5592500000E-03,1.3467106037E-03
2.5000000000E-02,3.5483470000E-03,1.3573980000E-03,1.1796555482E-03
2.7500000000E-02,7.2100000000E-04,6.4446100000E-04,5.5422988953E-04
3.0000000000E-02,9.1161300000E-04,8.4066700000E-04,6.7578192102E-04
3.2500000000E-02,4.8984300000E-04,1.3962800000E-03,1.1799570639E-03
3.5000000000E-02,2.7416360000E-03,1.9240950000E-03,1.6859155148E-03
3.7500000000E-02,1.8500000000E-03,1.5648070000E-03,1.4101215638E-03
4.0000000000E-02,3.4608880000E-03,1.5479070000E-03,1.3584124390E-03
4.2500000000E-02,1.8434810000E-03,1.0100000000E-03,8.7751826504E-04
4.5000000000E-02,1.9483240000E-03,1.1831400000E-03,9.7190175438E-04
4.7500000000E-02,1.7546860000E-03,8.5215600000E-04,6.8153225584E-04
5.0000000000E-02,2.7598810000E-03,1.7331050000E-03,1.4067273587E-03
5.2500000000E-02,1.7907430000E-03,1.2200000000E-03,1.0184687562E-03
5.5000000000E-02,1.9400000000E-03,1.9200000000E-03,1.5763367992E-03
5.7500000000E-02,-6.2435100000E-04,1.3739060000E-03,1.1528952746E-03
6.0000000000E-02,2.3158000000E-03,1.1658830000E-03,9.2492433032E-04
